title,award,genre,imageurl
Quo Vadis,COSTUME DESIGN (Color),"Biography, Drama, History, Romance",https://m.media-amazon.com/images/M/MV5BM2QwZGZkZDEtNjUwNi00NTk5LTg3ZTAtYjE5ZTczMzYzOWRmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
Tales of Hoffmann,COSTUME DESIGN (Color),N/A,N/A
The Greatest Show on Earth,COSTUME DESIGN (Color),"Drama, Family, Romance",https://m.media-amazon.com/images/M/MV5BMzg5MWIyMjItYWMyYS00YTFjLWFlZGMtZTJkNzgyY2VmY2U2XkEyXkFqcGdeQXVyNzE2NDk3NTY@._V1_SX300.jpg
Hans Christian Andersen,COSTUME DESIGN (Color),"Biography, Family, Musical, Romance",https://m.media-amazon.com/images/M/MV5BNjI5NjA1Y2ItZWY0MC00NGY4LTk0MDMtZTgxNTZhNWIyZGQzXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg
The Merry Widow,COSTUME DESIGN (Color),"Comedy, Musical, Romance",https://m.media-amazon.com/images/M/MV5BYjVjMmZkZTAtYzAwMC00MDUxLWFiODYtMzJjNjhjNzVjNTJmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg
Moulin Rouge,COSTUME DESIGN (Color),"Biography, Drama, Music, Romance",https://m.media-amazon.com/images/M/MV5BMjYwNjllODAtZTFmYi00YmJjLWJmM2UtNjk1MjQ4MzBhYjViL2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg
With a Song in My Heart,COSTUME DESIGN (Color),"Biography, Drama, Musical",https://m.media-amazon.com/images/M/MV5BMmRiYTlmZDktY2IwNS00NWQyLWIzOGMtMTEzZDJhM2U4MmJjXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg
The Band Wagon,COSTUME DESIGN (Color),"Comedy, Musical, Romance",https://m.media-amazon.com/images/M/MV5BNGUxZmJkZTgtMmI1Ny00Mzg3LWFlY2QtMjNkM2QwZGVhYTQyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
Call Me Madam,COSTUME DESIGN (Color),"Comedy, Musical, Romance",https://m.media-amazon.com/images/M/MV5BYjFjM2ZkN2UtZjhkOC00MzU3LWFmYzctNjUyZDRkM2IwN2I3XkEyXkFqcGdeQXVyMjc2NTQ1MTI@._V1_SX300.jpg
How to Marry a Millionaire,COSTUME DESIGN (Color),"Comedy, Drama, Romance",https://m.media-amazon.com/images/M/MV5BZTM0MGU1MjgtMDJiMy00N2RkLWFiZDMtMmY5MGE5MGRmNzEwXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg
The Robe,COSTUME DESIGN (Color),"Drama, History",https://m.media-amazon.com/images/M/MV5BNDA1MDYwMTAtYmM5ZC00M2VkLTljOWYtY2JiMWMyMDY5Y2NjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
Young Bess,COSTUME DESIGN (Color),"Biography, Drama, Romance",https://m.media-amazon.com/images/M/MV5BMmY5Zjg5MmYtOTI2OS00NmMzLTg3MjQtODUzMmJmNWM5NDg0XkEyXkFqcGdeQXVyMTQ1NDUyNzI@._V1_SX300.jpg
Brigadoon,COSTUME DESIGN (Color),"Fantasy, Musical, Romance",https://m.media-amazon.com/images/M/MV5BZDIxMjM4MWEtMTcxMC00ZjcwLTkxOTEtNzIwNGU1YjNiMTlkXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg
Desiree,COSTUME DESIGN (Color),"Crime, Drama, Thriller",https://m.media-amazon.com/images/M/MV5BZjQyNTczNWMtYzIyMi00NThhLTlhOTctNGU3YjQ5N2M4NjczXkEyXkFqcGdeQXVyMTgyNDk1OTY@._V1_SX300.jpg
Gate of Hell,COSTUME DESIGN (Color),"Drama, History",https://m.media-amazon.com/images/M/MV5BOGI2NTY4OWMtZTU1NS00ZjY0LWE4YjMtYjE3MWQ0YTgzZTY3L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
A Star Is Born,COSTUME DESIGN (Color),"Drama, Music, Romance",https://m.media-amazon.com/images/M/MV5BNmE5ZmE3OGItNTdlNC00YmMxLWEzNjctYzAwOGQ5ODg0OTI0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
There's No Business Like Show Business,COSTUME DESIGN (Color),"Comedy, Drama, Musical, Romance",https://m.media-amazon.com/images/M/MV5BZDcxMGJmOGYtOTcwMy00MWYxLTlkZjItNThkOTJiZDgxMTlhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg
Guys and Dolls,COSTUME DESIGN (Color),"Comedy, Crime, Musical, Romance",https://m.media-amazon.com/images/M/MV5BZGJlZTBiZTAtN2I3ZS00NzJmLWEwOTAtYjlkZjg0NzVmOTJkXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg
Interrupted Melody,COSTUME DESIGN (Color),"Biography, Drama, Music",https://m.media-amazon.com/images/M/MV5BMGU0MmE0MmMtY2NlMy00MjkxLWJlNzUtOTU4MGYwM2Q5ODhkXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg
Love Is a Many-Splendored Thing,COSTUME DESIGN (Color),"Biography, Drama, Romance, War",https://m.media-amazon.com/images/M/MV5BMzVjZTBlZDktZGIwOS00MDZjLTlkOTYtZjA2Y2NjNmY5ZGJkXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg
To Catch a Thief,COSTUME DESIGN (Color),"Mystery, Romance, Thriller",https://m.media-amazon.com/images/M/MV5BODM2ODgyOGYtYzYwMC00ZTEwLTg2MmItZDI2OTdhMTdiMGFiL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
The Virgin Queen,COSTUME DESIGN (Color),"Biography, Drama, History, Romance",https://m.media-amazon.com/images/M/MV5BMTI3MDkzNTQyNF5BMl5BanBnXkFtZTcwNzc3NTEzMQ@@._V1_SX300.jpg
Around the World in 80 Days,COSTUME DESIGN (Color),"Action, Adventure, Comedy, Family, Western",https://m.media-amazon.com/images/M/MV5BMTc4MTkxMjQ2NF5BMl5BanBnXkFtZTcwNzE0NzUyMQ@@._V1_SX300.jpg
Giant,COSTUME DESIGN (Color),"Drama, Western",https://m.media-amazon.com/images/M/MV5BODk3YjdjZTItOGVhYi00Mjc2LTgzMDAtMThmYTVkNTBlMWVkXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_SX300.jpg
The King and I,COSTUME DESIGN (Color),"Biography, Drama, Musical, Romance",https://m.media-amazon.com/images/M/MV5BNmJkYTViMzItZDM3YS00MDU2LTkzYWItMGJkYjVjMjU2YjNlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
The Ten Commandments,COSTUME DESIGN (Color),"Adventure, Drama",https://m.media-amazon.com/images/M/MV5BODcxYjUxZDgtYTQ5Zi00YmQ1LWJmZmItODZkOTYyNDhiNWM3XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
War and Peace,COSTUME DESIGN (Color),"Drama, Romance, War",https://m.media-amazon.com/images/M/MV5BNmJjOThlYTYtYzFlZC00NjI1LWFhNzItYmIzNzk5NDZkZmRmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
Ben-Hur,COSTUME DESIGN (Color),"Adventure, Drama, History",https://m.media-amazon.com/images/M/MV5BNjgxY2JiZDYtZmMwOC00ZmJjLWJmODUtMTNmNWNmYWI5ODkwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
The Best of Everything,COSTUME DESIGN (Color),"Drama, Romance",https://m.media-amazon.com/images/M/MV5BNTljNzUxZDAtYmFmNC00YjhiLThjOGEtZmM4ZDQ4MjJkYzhiXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg
The Big Fisherman,COSTUME DESIGN (Color),"Drama, History",https://m.media-amazon.com/images/M/MV5BMjhmOTA4MzYtMjc2MC00MGY1LTk5ZTYtOWE4NmE1NGFjYTJkXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg
The Five Pennies,COSTUME DESIGN (Color),"Biography, Drama, Music",https://m.media-amazon.com/images/M/MV5BMTQ3MDMzNzI2OF5BMl5BanBnXkFtZTgwNDg1MjkyMTE@._V1_SX300.jpg
Porgy and Bess,COSTUME DESIGN (Color),"Drama, Musical, Romance",https://m.media-amazon.com/images/M/MV5BNzMzY2U5MTctMjQxYi00ZWRlLWI2NjAtMTVjOTQ0MWI0YTFiXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg
Can-Can,COSTUME DESIGN (Color),"Comedy, Musical",https://m.media-amazon.com/images/M/MV5BMTI3Njc0MDUwMV5BMl5BanBnXkFtZTcwOTk0MDg0MQ@@._V1_SX300.jpg
Midnight Lace,COSTUME DESIGN (Color),"Drama, Mystery, Thriller",https://m.media-amazon.com/images/M/MV5BNjc1MjYyZmUtZjczYy00OTc2LWFiYjMtNGVlM2ExMmQ0ODcxXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg
Pepe,COSTUME DESIGN (Color),"Comedy, Musical",https://m.media-amazon.com/images/M/MV5BZmEwZjQ4MzktZjc0Yi00ODg5LWFiMzctZGY4NTAxYTZiNThhXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg
Spartacus,COSTUME DESIGN (Color),"Action, Adventure, Biography, Drama, History, Romance",https://m.media-amazon.com/images/M/MV5BZTEwZTM3MzUtMzk3Yy00YWI4LWI1ZTktOTc1MmRjZWM5ZDhmXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_SX300.jpg
Sunrise at Campobello,COSTUME DESIGN (Color),"Biography, Drama",https://m.media-amazon.com/images/M/MV5BZmZhOGVjODUtOTZkMS00YmE0LTkzZmQtZjJmZWNlMjM5N2I5XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg
Babes in Toyland,COSTUME DESIGN (Color),"Comedy, Family, Fantasy, Musical, Romance",https://m.media-amazon.com/images/M/MV5BZjdlNmEzOTQtNjhlMS00MDZiLTk2YjUtMWEzMzI3ODc4MDVmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMDI3OTIzOA@@._V1_SX300.jpg
Back Street,COSTUME DESIGN (Color),Drama,https://m.media-amazon.com/images/M/MV5BMTkxOTQ3OTE5OF5BMl5BanBnXkFtZTYwMzAzNDc4._V1_SX300.jpg
Flower Drum Song,COSTUME DESIGN (Color),"Comedy, Musical, Romance",https://m.media-amazon.com/images/M/MV5BYWYyMzI0NjItODI2Mi00Y2Q5LWJkMTAtZjRhN2E4MzRmY2NkXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg
Pocketful of Miracles,COSTUME DESIGN (Color),"Comedy, Drama",https://m.media-amazon.com/images/M/MV5BMGJjNWYwMjMtZTMxYy00YWYzLTgxNjctYmQxNWMyZTM4YjdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
West Side Story,COSTUME DESIGN (Color),"Crime, Drama, Musical, Romance",https://m.media-amazon.com/images/M/MV5BMTM0NDAxOTI5MF5BMl5BanBnXkFtZTcwNjI4Mjg3NA@@._V1_SX300.jpg
Bon Voyage!,COSTUME DESIGN (Color),"Family, Comedy, Adventure, Drama, Romance",https://m.media-amazon.com/images/M/MV5BYTcyZGZjYjAtNTgwNS00NzBhLWFhODgtNzA5NjFmNWE2MDc1XkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg
Gypsy,COSTUME DESIGN (Color),"Drama, Thriller",https://m.media-amazon.com/images/M/MV5BMTEzMTA1MTMyMjReQTJeQWpwZ15BbWU4MDY3MzUyMzIy._V1_SX300.jpg
Right Here in River City: The Making of Meredith Willson's 'The Music Man',COSTUME DESIGN (Color),"Documentary, Short, Family",N/A
My Geisha,COSTUME DESIGN (Color),"Comedy, Drama, Romance",https://m.media-amazon.com/images/M/MV5BNTBhOWJjY2ItOGU3NS00MDkwLWFjOWMtMjk5NzdlODUxMGFhXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg
The Wonderful World of the Brothers Grimm,COSTUME DESIGN (Color),"Animation, Adventure, Biography, Comedy, Drama, Family, Fantasy, Musical, Romance",https://m.media-amazon.com/images/M/MV5BZTlhMmZlNmMtOWQ5NS00YzNhLWIxMDEtOTA5OGYxYzkwZjhlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
The Cardinal,COSTUME DESIGN (Color),"Drama, History, War",https://m.media-amazon.com/images/M/MV5BMTJlZTgzNGMtYmNlNS00MzhmLTk4Y2YtZDIwYWZmZmEzZTRkXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg
Cleopatra,COSTUME DESIGN (Color),"Biography, Drama, History, Romance",https://m.media-amazon.com/images/M/MV5BY2YyOGFlZWItY2M5OC00NzJhLWJmNDgtZTVjNzIzMDI3YjgyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
How the West Was Won,COSTUME DESIGN (Color),Western,https://m.media-amazon.com/images/M/MV5BZDk0Y2NmZWItNjdlMy00YzlmLThkMmUtZmVkOTE2OTBmZjVjXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg
The Leopard,COSTUME DESIGN (Color),"Drama, History",https://m.media-amazon.com/images/M/MV5BYTgxZjc4NjQtZWJlNS00MTNlLWE3NDQtMmEwZTEyZDMxMjVlXkEyXkFqcGdeQXVyNzMzNzY1OTQ@._V1_SX300.jpg
A New Kind of Love,COSTUME DESIGN (Color),"Comedy, Romance",https://m.media-amazon.com/images/M/MV5BYWE2MWE4MmMtMmZhNi00NTNiLWFhYTMtMmVkNzQxNGQ2NTUwXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg
Becket,COSTUME DESIGN (Color),"Biography, Drama, History",https://m.media-amazon.com/images/M/MV5BM2MyYTg5MDAtNjVlNy00MzZkLTgxOGQtMzVkZTdlYWNiYzUyXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg
Mary Poppins,COSTUME DESIGN (Color),"Comedy, Family, Fantasy, Musical",https://m.media-amazon.com/images/M/MV5BNmJkODczNjItNDI5Yy00MGI1LTkyOWItZDNmNjM4ZGI1ZDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg
My Fair Lady,COSTUME DESIGN (Color),"Drama, Family, Musical, Romance",https://m.media-amazon.com/images/M/MV5BNGM0ZTU3NmItZmRmMy00YWNjLWEzMWItYzg3MzcwZmM5NjdiXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg
The Unsinkable Molly Brown,COSTUME DESIGN (Color),"Biography, Comedy, Musical, Romance, Western",https://m.media-amazon.com/images/M/MV5BMWMxMjQ2YTMtNDRkNC00ODNjLWI4ODItODFmNDU3OWJhYWIwXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg
What a Way to Go!,COSTUME DESIGN (Color),"Comedy, Romance",https://m.media-amazon.com/images/M/MV5BOTE4MTI0MTQtNjEzZS00YTk4LTkwNzktYzE1YTZlMDc1ODcwXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg
The Agony and the Ecstasy,COSTUME DESIGN (Color),"Biography, Drama, History",https://m.media-amazon.com/images/M/MV5BNzNkM2IzOGQtMmMyNi00YTc1LWIxNWEtNTk5YzI0YjQyYjZkXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg
Doctor Zhivago,COSTUME DESIGN (Color),"Drama, Romance, War",https://m.media-amazon.com/images/M/MV5BNzdmZTk4MTktZmExNi00OWEwLTgxZDctNTE4NWMwNjc1Nzg2XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
The Greatest Story Ever Told,COSTUME DESIGN (Color),"Biography, Drama, History",https://m.media-amazon.com/images/M/MV5BMTU4NDQ3Mzg3Ml5BMl5BanBnXkFtZTcwNjg5MTkzNA@@._V1_SX300.jpg
Inside Daisy Clover,COSTUME DESIGN (Color),"Drama, Music, Romance",https://m.media-amazon.com/images/M/MV5BOWIwZjZkMDEtMzAyMC00NGI1LTk4ZGMtNTc2MWU5ZjcyMzA1XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg
The Sound of Music,COSTUME DESIGN (Color),"Biography, Drama, Family, Musical, Romance",https://m.media-amazon.com/images/M/MV5BODIxNjhkYjEtYzUyMi00YTNjLWE1YjktNjAyY2I2MWNkNmNmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Gambit,COSTUME DESIGN (Color),"Comedy, Crime",https://m.media-amazon.com/images/M/MV5BNmIyMWY1YTUtMjQ0ZC00MzE4LTlmNmYtNzRhZjU5NTNhN2VjXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg
Hawaii,COSTUME DESIGN (Color),"Drama, Romance",https://m.media-amazon.com/images/M/MV5BOTVmYmMxYmEtMzMxZC00ZGU4LWE2ZTAtOTUyNjMzZGU5YTEzXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg
Juliet of the Spirits,COSTUME DESIGN (Color),"Comedy, Drama, Fantasy",https://m.media-amazon.com/images/M/MV5BM2U4OWQ3MjEtYTQ4Zi00MDY1LTg2YjgtNmJkNzI3MTM1YjJjXkEyXkFqcGdeQXVyNzM0MTUwNTY@._V1_SX300.jpg
A Man for All Seasons,COSTUME DESIGN (Color),"Biography, Drama, History",https://m.media-amazon.com/images/M/MV5BMTRjOTA1NzctNzFmMy00ZjcwLWExYjgtYWQyZDM5ZWY1Y2JlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg
The Oscar,COSTUME DESIGN (Color),Drama,https://m.media-amazon.com/images/M/MV5BNDNiMWVhZTAtNTM3Yy00NzIyLTg5ODktZWI5YTEyODcwYTM1XkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg
